Week,Flatiron,App_Academy
2014-02-02,8,20
2014-02-09,12,21
2014-02-16,16,13
2014-02-23,12,21
2014-03-02,11,20
2014-03-09,26,23
2014-03-16,15,29
2014-03-23,15,28
2014-03-30,25,19
2014-04-06,30,19
2014-04-13,18,23
2014-04-20,13,12
2014-04-27,16,21
2014-05-04,16,18
2014-05-11,13,16
2014-05-18,14,15
2014-05-25,10,21
2014-06-01,12,13
2014-06-08,8,8
2014-06-15,7,24
2014-06-22,14,19
2014-06-29,22,23
2014-07-06,11,18
2014-07-13,8,17
2014-07-20,9,26
2014-07-27,15,21
2014-08-03,7,14
2014-08-10,19,24
2014-08-17,9,24
2014-08-24,19,10
2014-08-31,14,24
2014-09-07,23,29
2014-09-14,5,6
2014-09-21,10,16
2014-09-28,14,16
2014-10-05,12,16
2014-10-12,10,20
2014-10-19,16,17
2014-10-26,7,20
2014-11-02,17,22
2014-11-09,12,17
2014-11-16,13,16
2014-11-23,9,10
2014-11-30,9,13
2014-12-07,15,21
2014-12-14,17,19
2014-12-21,10,19
2014-12-28,8,19
2015-01-04,16,28
2015-01-11,17,16
2015-01-18,13,28
2015-01-25,19,12
2015-02-01,11,20
2015-02-08,19,19
2015-02-15,13,22
2015-02-22,14,22
2015-03-01,13,14
2015-03-08,79,20
2015-03-15,35,24
2015-03-22,16,32
2015-03-29,33,30
2015-04-05,40,41
2015-04-12,29,43
2015-04-19,32,28
2015-04-26,16,27
2015-05-03,28,43
2015-05-10,18,31
2015-05-17,20,30
2015-05-24,15,39
2015-05-31,34,25
2015-06-07,34,17
2015-06-14,100,27
2015-06-21,43,31
2015-06-28,39,19
2015-07-05,28,39
2015-07-12,25,30
2015-07-19,23,16
2015-07-26,51,41
2015-08-02,45,28
2015-08-09,26,28
2015-08-16,22,28
2015-08-23,18,26
2015-08-30,13,24
2015-09-06,46,19
2015-09-13,18,27
2015-09-20,8,23
2015-09-27,16,29
2015-10-04,21,18
2015-10-11,19,18
2015-10-18,12,17
2015-10-25,22,22
2015-11-01,14,33
2015-11-08,19,29
2015-11-15,12,19
2015-11-22,13,22
2015-11-29,15,22
2015-12-06,23,17
2015-12-13,24,24
2015-12-20,7,22
2015-12-27,9,16
2016-01-03,19,38
2016-01-10,14,22
2016-01-17,16,28
2016-01-24,15,27
2016-01-31,15,28
2016-02-07,17,31
2016-02-14,14,26
2016-02-21,22,28
2016-02-28,19,21
2016-03-06,9,30
2016-03-13,10,21
2016-03-20,20,27
2016-03-27,13,29
2016-04-03,25,33
2016-04-10,28,27
2016-04-17,17,37
2016-04-24,15,65
2016-05-01,14,36
2016-05-08,31,43
2016-05-15,16,41
2016-05-22,23,30
2016-05-29,16,31
2016-06-05,22,20
2016-06-12,18,28
2016-06-19,24,31
2016-06-26,13,25
2016-07-03,19,31
2016-07-10,15,27
2016-07-17,14,33
2016-07-24,13,29
2016-07-31,15,29
2016-08-07,32,22
2016-08-14,32,32
2016-08-21,23,20
2016-08-28,19,16
2016-09-04,19,33
2016-09-11,16,30
2016-09-18,10,25
2016-09-25,21,23
2016-10-02,9,33
2016-10-09,19,28
2016-10-16,12,28
2016-10-23,16,21
2016-10-30,12,27
2016-11-06,14,29
2016-11-13,8,24
2016-11-20,7,18
2016-11-27,18,27
2016-12-04,7,25
2016-12-11,16,22
2016-12-18,15,16
2016-12-25,8,33
2017-01-01,22,33
2017-01-08,23,30
2017-01-15,17,29
2017-01-22,16,29
2017-01-29,21,24
2017-02-05,20,30
2017-02-12,18,32
2017-02-19,16,32
2017-02-26,25,22
2017-03-05,14,32
2017-03-12,18,28
2017-03-19,26,31
2017-03-26,18,36
2017-04-02,25,28
2017-04-09,20,33
2017-04-16,27,26
2017-04-23,19,33
2017-04-30,27,41
2017-05-07,30,38
2017-05-14,14,28
2017-05-21,25,28
2017-05-28,19,32
2017-06-04,15,37
2017-06-11,25,29
2017-06-18,22,28
2017-06-25,17,36
2017-07-02,22,23
2017-07-09,21,50
2017-07-16,19,34
2017-07-23,26,29
2017-07-30,12,36
2017-08-06,26,33
2017-08-13,24,30
2017-08-20,26,16
2017-08-27,21,21
2017-09-03,21,25
2017-09-10,17,28
2017-09-17,12,34
2017-09-24,25,26
2017-10-01,17,24
2017-10-08,16,26
2017-10-15,29,14
2017-10-22,57,24
2017-10-29,20,22
2017-11-05,17,37
2017-11-12,17,20
2017-11-19,10,17
2017-11-26,25,18
2017-12-03,28,32
2017-12-10,26,26
2017-12-17,18,19
2017-12-24,32,20
2017-12-31,36,22
2018-01-07,29,36
2018-01-14,24,26
2018-01-21,21,38
2018-01-28,25,25
2018-02-04,31,37
2018-02-11,32,32
2018-02-18,32,21
2018-02-25,20,19
2018-03-04,22,31
2018-03-11,22,27
2018-03-18,22,25
2018-03-25,20,19
2018-04-01,19,29
2018-04-08,25,22
2018-04-15,32,26
2018-04-22,29,19
2018-04-29,14,15
2018-05-06,26,18
2018-05-13,40,25
2018-05-20,27,20
2018-05-27,26,18
2018-06-03,28,18
2018-06-10,27,23
2018-06-17,35,24
2018-06-24,32,23
2018-07-01,25,27
2018-07-08,35,22
2018-07-15,37,17
2018-07-22,35,17
2018-07-29,34,32
2018-08-05,44,23
2018-08-12,37,29
2018-08-19,27,30
2018-08-26,32,22
2018-09-02,32,18
2018-09-09,36,16
2018-09-16,21,23
2018-09-23,33,18
2018-09-30,37,20
2018-10-07,48,12
2018-10-14,30,28
2018-10-21,30,22
2018-10-28,30,27
2018-11-04,27,28
2018-11-11,30,17
2018-11-18,26,22
2018-11-25,34,25
2018-12-02,30,20
2018-12-09,30,17
2018-12-16,25,19
2018-12-23,31,15
2018-12-30,21,20
2019-01-06,39,26
2019-01-13,41,14
2019-01-20,37,24
